space_idx,x,y,variable,period,month,tau_vc,p_value_vc,sl_vc,vc_corrected,n_ties_vc,percent_ties_vc,n_min_vals_vc,percent_min_vals_vc,tau_b_adjusted_vc,filtered_vc,filter_reason_vc,tau_tfpw,p_value_tfpw,sl_tfpw,tfpw_applied,n_ties_tfpw,percent_ties_tfpw,n_min_vals_tfpw,percent_min_vals_tfpw,tau_b_adjusted_tfpw,filtered_tfpw,filter_reason_tfpw,n,rho1,n_spectral_peaks,dominant_period,spectral_confidence,same_significance,same_direction
11,969390.542813136,1227128.48626693,Precipitation,annual,,-0.391812865497076,0.0514709411829966,-0.315218353464913,TRUE,0,0,0,0,FALSE,FALSE,none,-0.368421052631579,0.0275179449774461,-0.315218353464913,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.24620352148185,0,,,FALSE,TRUE
12,977539.767727869,1227128.48626693,Precipitation,annual,,0.146198830409357,0.306207935129131,0.13766895669202,TRUE,0,0,0,0,FALSE,FALSE,none,0.216374269005848,0.195504456755976,0.13766895669202,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.136294011275308,0,,,TRUE,TRUE
13,985688.992642603,1227128.48626693,Precipitation,annual,,0.0175438596491228,0.916410155943906,0.0309696964298685,FALSE,0,0,0,0,FALSE,FALSE,none,0.0175438596491228,0.916410155943906,0.0309696964298685,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0959748578359828,0,,,TRUE,TRUE
14,936793.643154201,1218979.2613522,Precipitation,annual,,0.274853801169591,0.100109736834421,0.217283504422415,FALSE,0,0,0,0,FALSE,FALSE,none,0.274853801169591,0.100109736834421,0.217283504422415,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0740832036390193,0,,,TRUE,TRUE
15,944942.868068935,1218979.2613522,Precipitation,annual,,0.0994152046783626,0.487380394512212,0.138323225725729,TRUE,0,0,0,0,FALSE,FALSE,none,0.169590643274854,0.310305327613425,0.138323225725729,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.134875967912197,0,,,TRUE,TRUE
16,953092.092983669,1218979.2613522,Precipitation,annual,,0.204678362573099,0.220765551373464,0.323522583736728,FALSE,0,0,0,0,FALSE,FALSE,none,0.204678362573099,0.220765551373464,0.323522583736728,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0125669353999079,0,,,TRUE,TRUE
17,961241.317898402,1218979.2613522,Precipitation,annual,,0.263157894736842,0.115406391326902,0.412772130221128,FALSE,0,0,0,0,FALSE,FALSE,none,0.263157894736842,0.115406391326902,0.412772130221128,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.016745075090287,0,,,TRUE,TRUE
18,969390.542813136,1218979.2613522,Precipitation,annual,,0.00584795321637427,0.968470168970574,0.00652786217291247,TRUE,0,0,0,0,FALSE,FALSE,none,0.0409356725146199,0.806534636011349,0.00652786217291247,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.109176912973885,0,,,TRUE,TRUE
19,977539.767727869,1218979.2613522,Precipitation,annual,,0.286549707602339,0.0864749281035951,0.413978152209893,FALSE,0,0,0,0,FALSE,FALSE,none,0.35672514619883,0.0328329708156557,0.413978152209893,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.0990756106889114,0,,,FALSE,TRUE
20,985688.992642603,1218979.2613522,Precipitation,annual,,-0.0409356725146199,0.76362508052783,-0.113259519760807,TRUE,0,0,0,0,FALSE,FALSE,none,-0.0409356725146199,0.806534636011349,-0.113259519760807,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.171465974899754,0,,,TRUE,TRUE
21,944942.868068935,1210830.03643746,Precipitation,annual,,0.298245614035088,0.103428336333577,0.275918185555687,TRUE,0,0,0,0,FALSE,FALSE,none,0.298245614035088,0.0743807538754166,0.275918185555687,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.101329554573391,0,,,TRUE,TRUE
22,953092.092983669,1210830.03643746,Precipitation,annual,,0.169590643274854,0.356610623523401,0.0953661087392406,TRUE,0,0,0,0,FALSE,FALSE,none,0.169590643274854,0.310305327613425,0.0953661087392406,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.106939783090055,0,,,TRUE,TRUE
23,961241.317898402,1210830.03643746,Precipitation,annual,,-0.228070175438597,0.221930328786528,-0.249118500505574,TRUE,0,0,0,0,FALSE,FALSE,none,-0.228070175438597,0.172429979685959,-0.249118500505574,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.126145599801421,0,,,TRUE,TRUE
24,969390.542813136,1210830.03643746,Precipitation,annual,,0.0526315789473684,0.752860251931074,0.0469778509189685,FALSE,0,0,0,0,FALSE,FALSE,none,0.0526315789473684,0.752860251931074,0.0469778509189685,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.00818775147821907,0,,,TRUE,TRUE
25,977539.767727869,1210830.03643746,Precipitation,annual,,-0.087719298245614,0.556392881775996,-0.021673520677723,TRUE,0,0,0,0,FALSE,FALSE,none,-0.087719298245614,0.599733653398589,-0.021673520677723,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.10275636955228,0,,,TRUE,TRUE
26,985688.992642603,1210830.03643746,Precipitation,annual,,-0.228070175438597,0.231104579812984,-0.205768395163533,TRUE,0,0,0,0,FALSE,FALSE,none,-0.228070175438597,0.172429979685959,-0.205768395163533,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.15328854150503,0,,,TRUE,TRUE
27,993838.217557336,1210830.03643746,Precipitation,annual,,0.274853801169591,0.100109736834421,0.281094817910343,FALSE,0,0,0,0,FALSE,FALSE,none,0.274853801169591,0.100109736834421,0.281094817910343,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0602690496451244,0,,,TRUE,TRUE
28,944942.868068935,1202680.81152273,Precipitation,annual,,-0.111111111111111,0.506225852327387,-0.104835854532818,FALSE,0,0,0,0,FALSE,FALSE,none,-0.0994152046783626,0.552007442532962,-0.104835854532818,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0938735123075949,0,,,TRUE,TRUE
29,953092.092983669,1202680.81152273,Precipitation,annual,,0.181286549707602,0.278119807672054,0.149300011495749,FALSE,0,0,0,0,FALSE,FALSE,none,0.228070175438597,0.172429979685959,0.149300011495749,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.00623153036845255,0,,,TRUE,TRUE
30,961241.317898402,1202680.81152273,Precipitation,annual,,0.567251461988304,0.00507151668682939,0.981485186558631,TRUE,0,0,0,0,FALSE,FALSE,none,0.567251461988304,0.000689802603503989,0.981485186558631,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.423365894507046,0,,,TRUE,TRUE
31,969390.542813136,1202680.81152273,Precipitation,annual,,-0.0409356725146199,0.775896265349711,-0.0541042381276687,TRUE,0,0,0,0,FALSE,FALSE,none,0.0409356725146199,0.806534636011349,-0.0541042381276687,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.131430139468983,0,,,TRUE,FALSE
32,977539.767727869,1202680.81152273,Precipitation,annual,,0.380116959064327,0.05093448970714,0.53629360627383,TRUE,0,0,0,0,FALSE,FALSE,none,0.380116959064327,0.0229622504536206,0.53629360627383,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.186793024362312,0,,,FALSE,TRUE
33,985688.992642603,1202680.81152273,Precipitation,annual,,0.578947368421053,0.00417808173596794,0.76514424290508,TRUE,0,0,0,0,FALSE,FALSE,none,0.578947368421053,0.000533054766612997,0.76514424290508,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.425435382674488,0,,,TRUE,TRUE
34,993838.217557336,1202680.81152273,Precipitation,annual,,-0.216374269005848,0.246035267340214,-0.448884571798974,TRUE,0,0,0,0,FALSE,FALSE,none,-0.216374269005848,0.195504456755976,-0.448884571798974,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.124711799433958,0,,,TRUE,TRUE
35,953092.092983669,1194531.58660799,Precipitation,annual,,0.274853801169591,0.100109736834421,0.534168750164099,FALSE,0,0,0,0,FALSE,FALSE,none,0.333333333333333,0.0461326523254218,0.534168750164099,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.0563172897897308,0,,,FALSE,TRUE
36,961241.317898402,1194531.58660799,Precipitation,annual,,0.251461988304094,0.132483661240407,0.2061980854099,FALSE,0,0,0,0,FALSE,FALSE,none,0.333333333333333,0.0461326523254218,0.2061980854099,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.000564725299910051,0,,,FALSE,TRUE
37,969390.542813136,1194531.58660799,Precipitation,annual,,0.345029239766082,0.0755101268845684,0.403788626297481,TRUE,0,0,0,0,FALSE,FALSE,none,0.391812865497076,0.0190764688481354,0.403788626297481,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.181869059431615,0,,,FALSE,TRUE
38,977539.767727869,1194531.58660799,Precipitation,annual,,-0.0994152046783626,0.501696198942705,-0.110548305591302,TRUE,0,0,0,0,FALSE,FALSE,none,-0.087719298245614,0.599733653398589,-0.110548305591302,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.109013500512095,0,,,TRUE,TRUE
39,985688.992642603,1194531.58660799,Precipitation,annual,,0.35672514619883,0.0703659058494676,0.191053538583219,TRUE,0,0,0,0,FALSE,FALSE,none,0.35672514619883,0.0328329708156557,0.191053538583219,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.207257987499266,0,,,FALSE,TRUE
40,993838.217557336,1194531.58660799,Precipitation,annual,,0.00584795321637427,0.97209124616382,0.012211807188578,FALSE,0,0,0,0,FALSE,FALSE,none,0.00584795321637427,0.97209124616382,0.012211807188578,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0171159354730081,0,,,TRUE,TRUE
41,1001987.44247207,1194531.58660799,Precipitation,annual,,-0.146198830409357,0.381770204946921,-0.17425244829307,FALSE,0,0,0,0,FALSE,FALSE,none,-0.146198830409357,0.381770204946921,-0.17425244829307,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.013643240910191,0,,,TRUE,TRUE
42,961241.317898402,1186382.36169326,Precipitation,annual,,-0.35672514619883,0.0823132071636143,-0.381930724769417,TRUE,0,0,0,0,FALSE,FALSE,none,-0.403508771929825,0.0157782705875926,-0.381930724769417,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.395547762088408,0,,,FALSE,TRUE
43,969390.542813136,1186382.36169326,Precipitation,annual,,0.321637426900585,0.0916287158537648,0.129120839119423,TRUE,0,0,0,0,FALSE,FALSE,none,0.321637426900585,0.0543287136719842,0.129120839119423,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.154935551941581,0,,,TRUE,TRUE
44,977539.767727869,1186382.36169326,Precipitation,annual,,0.134502923976608,0.421011207860005,0.212506204843521,FALSE,0,0,0,0,FALSE,FALSE,none,0.134502923976608,0.421011207860005,0.212506204843521,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0191135359438167,0,,,TRUE,TRUE
45,985688.992642603,1186382.36169326,Precipitation,annual,,0.204678362573099,0.220765551373464,0.165669457055628,FALSE,0,0,0,0,FALSE,FALSE,none,0.204678362573099,0.220765551373464,0.165669457055628,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0772830436793524,0,,,TRUE,TRUE
46,993838.217557336,1186382.36169326,Precipitation,annual,,-0.169590643274854,0.310305327613425,-0.180010765325278,FALSE,0,0,0,0,FALSE,FALSE,none,-0.0994152046783626,0.552007442532962,-0.180010765325278,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0996278977282488,0,,,TRUE,TRUE
47,1001987.44247207,1186382.36169326,Precipitation,annual,,0.216374269005848,0.195504456755976,0.233981758356094,FALSE,0,0,0,0,FALSE,FALSE,none,0.239766081871345,0.151455743811426,0.233981758356094,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0427489920994916,0,,,TRUE,TRUE
48,969390.542813136,1178233.13677853,Precipitation,annual,,-0.52046783625731,4.30027154756697e-05,-1.02607629960403,TRUE,0,0,0,0,FALSE,FALSE,none,-0.555555555555556,0.000888542259374653,-1.02607629960403,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.562191073988208,0,,,TRUE,TRUE
49,977539.767727869,1178233.13677853,Precipitation,annual,,0.239766081871345,0.151455743811426,0.178733003849629,FALSE,0,0,0,0,FALSE,FALSE,none,0.239766081871345,0.151455743811426,0.178733003849629,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0522891811585414,0,,,TRUE,TRUE
50,985688.992642603,1178233.13677853,Precipitation,annual,,-0.263157894736842,0.16010223997802,-0.411322604243954,TRUE,0,0,0,0,FALSE,FALSE,none,-0.263157894736842,0.115406391326902,-0.411322604243954,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.130491050954261,0,,,TRUE,TRUE
51,993838.217557336,1178233.13677853,Precipitation,annual,,-0.12280701754386,0.408024735753078,-0.135078252891877,TRUE,0,0,0,0,FALSE,FALSE,none,-0.111111111111111,0.506225852327387,-0.135078252891877,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.106564126458006,0,,,TRUE,TRUE
52,1001987.44247207,1178233.13677853,Precipitation,annual,,-0.508771929824562,0.0132940889005633,-0.301875914870338,TRUE,0,0,0,0,FALSE,FALSE,none,-0.508771929824562,0.00233653321941677,-0.301875914870338,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.393002592759815,0,,,TRUE,TRUE
53,1010136.6673868,1178233.13677853,Precipitation,annual,,0.181286549707602,0.278119807672054,0.0964407731468479,FALSE,0,0,0,0,FALSE,FALSE,none,0.239766081871345,0.151455743811426,0.0964407731468479,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0711497882979292,0,,,TRUE,TRUE
54,977539.767727869,1170083.91186379,Precipitation,annual,,0.426900584795322,0.0343818634835141,0.228906373700334,TRUE,0,0,0,0,FALSE,FALSE,none,0.426900584795322,0.010650955505512,0.228906373700334,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.252802404159862,0,,,TRUE,TRUE
55,985688.992642603,1170083.91186379,Precipitation,annual,,0.309941520467836,0.121786726219849,0.285982387140393,TRUE,0,0,0,0,FALSE,FALSE,none,0.274853801169591,0.100109736834421,0.285982387140393,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.237116278343156,0,,,TRUE,TRUE
56,993838.217557336,1170083.91186379,Precipitation,annual,,0.555555555555556,0.00270861265061329,0.551135298640778,TRUE,0,0,0,0,FALSE,FALSE,none,0.555555555555556,0.000888542259374653,0.551135298640778,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.489626944292568,0,,,TRUE,TRUE
57,1001987.44247207,1170083.91186379,Precipitation,annual,,0.52046783625731,0.0118428543258516,0.358515389962122,TRUE,0,0,0,0,FALSE,FALSE,none,0.52046783625731,0.00184747314988247,0.358515389962122,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.356831363461481,0,,,TRUE,TRUE
58,1010136.6673868,1170083.91186379,Precipitation,annual,,0.263157894736842,0.115406391326902,0.292591464061003,FALSE,0,0,0,0,FALSE,FALSE,none,0.309941520467836,0.0637055059648212,0.292591464061003,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0819696899187683,0,,,TRUE,TRUE
59,977539.767727869,1161934.68694906,Precipitation,annual,,0.309941520467836,0.109903038377545,0.406786231906153,TRUE,0,0,0,0,FALSE,FALSE,none,0.309941520467836,0.0637055059648212,0.406786231906153,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.179885433827668,0,,,TRUE,TRUE
60,985688.992642603,1161934.68694906,Precipitation,annual,,0.274853801169591,0.144111150395722,0.389742742603024,TRUE,0,0,0,0,FALSE,FALSE,none,0.274853801169591,0.100109736834421,0.389742742603024,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.13649361458004,0,,,TRUE,TRUE
61,993838.217557336,1161934.68694906,Precipitation,annual,,0.157894736842105,0.344857800959917,0.174879312648305,FALSE,0,0,0,0,FALSE,FALSE,none,0.157894736842105,0.344857800959917,0.174879312648305,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.054909622847169,0,,,TRUE,TRUE
62,1001987.44247207,1161934.68694906,Precipitation,annual,,0.239766081871345,0.151455743811426,0.188082941652586,FALSE,0,0,0,0,FALSE,FALSE,none,0.239766081871345,0.151455743811426,0.188082941652586,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0458673141058318,0,,,TRUE,TRUE
63,1010136.6673868,1161934.68694906,Precipitation,annual,,0.473684210526316,0.01901106497476,1.12290450488217,TRUE,0,0,0,0,FALSE,FALSE,none,0.473684210526316,0.00459936073659208,1.12290450488217,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.254819461934661,0,,,TRUE,TRUE
64,1018285.89230154,1161934.68694906,Precipitation,annual,,0.380116959064327,0.0602464719698884,0.563177299530556,TRUE,0,0,0,0,FALSE,FALSE,none,0.380116959064327,0.0229622504536206,0.563177299530556,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.258573358513524,0,,,FALSE,TRUE
65,1026435.11721627,1161934.68694906,Precipitation,annual,,0.239766081871345,0.151455743811426,0.132702269183937,FALSE,0,0,0,0,FALSE,FALSE,none,0.263157894736842,0.115406391326902,0.132702269183937,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.067452235499244,0,,,TRUE,TRUE
66,969390.542813136,1153785.46203433,Precipitation,annual,,-0.087719298245614,0.599733653398589,-0.0835847264776627,FALSE,0,0,0,0,FALSE,FALSE,none,-0.087719298245614,0.599733653398589,-0.0835847264776627,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0521036485347309,0,,,TRUE,TRUE
67,977539.767727869,1153785.46203433,Precipitation,annual,,-0.321637426900585,0.102848487903384,-0.33092400796401,TRUE,0,0,0,0,FALSE,FALSE,none,-0.321637426900585,0.0543287136719842,-0.33092400796401,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.207643815406586,0,,,TRUE,TRUE
68,985688.992642603,1153785.46203433,Precipitation,annual,,-0.309941520467836,0.123623170684816,-0.255857668393715,TRUE,0,0,0,0,FALSE,FALSE,none,-0.309941520467836,0.0637055059648212,-0.255857668393715,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.247382335042365,0,,,TRUE,TRUE
69,993838.217557336,1153785.46203433,Precipitation,annual,,-0.216374269005848,0.195504456755976,-0.195118753860394,FALSE,0,0,0,0,FALSE,FALSE,none,-0.216374269005848,0.195504456755976,-0.195118753860394,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0638671593144367,0,,,TRUE,TRUE
70,1001987.44247207,1153785.46203433,Precipitation,annual,,-0.263157894736842,0.151309114393228,-0.171149571542628,TRUE,0,0,0,0,FALSE,FALSE,none,-0.192982456140351,0.2482854634365,-0.171149571542628,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.103020827311361,0,,,TRUE,TRUE
71,1010136.6673868,1153785.46203433,Precipitation,annual,,0.134502923976608,0.421011207860005,0.20215295565625,FALSE,0,0,0,0,FALSE,FALSE,none,0.134502923976608,0.421011207860005,0.20215295565625,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.00225105265352609,0,,,TRUE,TRUE
72,1018285.89230154,1153785.46203433,Precipitation,annual,,-0.695906432748538,,-0.535447492866832,TRUE,0,0,0,0,FALSE,FALSE,none,-0.672514619883041,5.73783953541161e-05,-0.535447492866832,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.660091537337541,0,,,,TRUE
73,1026435.11721627,1153785.46203433,Precipitation,annual,,0.497076023391813,0.00985158300141214,0.390541206191604,TRUE,0,0,0,0,FALSE,FALSE,none,0.497076023391813,0.00294162055665114,0.390541206191604,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.469164755393547,0,,,TRUE,TRUE
74,977539.767727869,1145636.23711959,Precipitation,annual,,-0.228070175438597,0.235474093173153,-0.285642046947032,TRUE,0,0,0,0,FALSE,FALSE,none,-0.228070175438597,0.172429979685959,-0.285642046947032,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.16693883968188,0,,,TRUE,TRUE
75,985688.992642603,1145636.23711959,Precipitation,annual,,0.251461988304094,0.132483661240407,0.343541595308731,FALSE,0,0,0,0,FALSE,FALSE,none,0.251461988304094,0.132483661240407,0.343541595308731,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0894302454105326,0,,,TRUE,TRUE
76,993838.217557336,1145636.23711959,Precipitation,annual,,0.111111111111111,0.42764249974057,0.125695136375725,TRUE,0,0,0,0,FALSE,FALSE,none,0.157894736842105,0.344857800959917,0.125695136375725,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.151048567921914,0,,,TRUE,TRUE
77,1001987.44247207,1145636.23711959,Precipitation,annual,,-0.181286549707602,0.278119807672054,-0.217334483750165,FALSE,0,0,0,0,FALSE,FALSE,none,-0.157894736842105,0.344857800959917,-0.217334483750165,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0331146568925966,0,,,TRUE,TRUE
78,1010136.6673868,1145636.23711959,Precipitation,annual,,-0.00584795321637427,0.97209124616382,-0.00560921450544681,FALSE,0,0,0,0,FALSE,FALSE,none,-0.00584795321637427,0.97209124616382,-0.00560921450544681,FALSE,0,0,0,0,FALSE,FALSE,none,19,-0.0498554211106669,0,,,TRUE,TRUE
79,1018285.89230154,1145636.23711959,Precipitation,annual,,0.181286549707602,0.278119807672054,0.26932200934324,FALSE,0,0,0,0,FALSE,FALSE,none,0.321637426900585,0.0543287136719842,0.26932200934324,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0599146245735564,0,,,TRUE,TRUE
80,1026435.11721627,1145636.23711959,Precipitation,annual,,-0.391812865497076,0.0581322522493544,-0.616019162407611,TRUE,0,0,0,0,FALSE,FALSE,none,-0.391812865497076,0.0190764688481354,-0.616019162407611,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.34559141109705,0,,,FALSE,TRUE
81,977539.767727869,1137487.01220486,Precipitation,annual,,-0.251461988304094,0.132483661240407,-0.416689435951412,FALSE,0,0,0,0,FALSE,FALSE,none,-0.251461988304094,0.132483661240407,-0.416689435951412,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0635992410903292,0,,,TRUE,TRUE
82,985688.992642603,1137487.01220486,Precipitation,annual,,-0.263157894736842,0.172478185360108,-0.269093026872724,TRUE,0,0,0,0,FALSE,FALSE,none,-0.263157894736842,0.115406391326902,-0.269093026872724,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.172017188445805,0,,,TRUE,TRUE
83,993838.217557336,1137487.01220486,Precipitation,annual,,0.35672514619883,0.0697337121340131,0.434182598837651,TRUE,0,0,0,0,FALSE,FALSE,none,0.35672514619883,0.0328329708156557,0.434182598837651,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.203364347092527,0,,,FALSE,TRUE
84,1001987.44247207,1137487.01220486,Precipitation,annual,,-0.450292397660819,0.0253074791650471,-0.11127968900837,TRUE,0,0,0,0,FALSE,FALSE,none,-0.380116959064327,0.0229622504536206,-0.11127968900837,TRUE,0,0,0,0,FALSE,FALSE,none,19,0.247679853954064,0,,,TRUE,TRUE
85,1010136.6673868,1137487.01220486,Precipitation,annual,,0.157894736842105,0.344857800959917,0.152319436892867,FALSE,0,0,0,0,FALSE,FALSE,none,0.157894736842105,0.344857800959917,0.152319436892867,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0139741017279773,0,,,TRUE,TRUE
86,1018285.89230154,1137487.01220486,Precipitation,annual,,0.0292397660818713,0.861136320921148,0.0238861231242909,FALSE,0,0,0,0,FALSE,FALSE,none,0.0292397660818713,0.861136320921148,0.0238861231242909,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0371816124751725,0,,,TRUE,TRUE
87,1026435.11721627,1137487.01220486,Precipitation,annual,,-0.12280701754386,0.462524047806277,-0.0435505893879703,FALSE,0,0,0,0,FALSE,FALSE,none,-0.146198830409357,0.381770204946921,-0.0435505893879703,TRUE,0,0,0,0,FALSE,FALSE,none,19,-0.0603390902377619,0,,,TRUE,TRUE
88,1034584.342131,1137487.01220486,Precipitation,annual,,-0.0292397660818713,0.861136320921148,-0.00949604542587291,FALSE,0,0,0,0,FALSE,FALSE,none,-0.0292397660818713,0.861136320921148,-0.00949604542587291,FALSE,0,0,0,0,FALSE,FALSE,none,19,0.0656119569999653,0,,,TRUE,TRUE
